"object_id";"colonne";"valeur"
"67";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13612-INFO-EMP-LINKEDIN-FR-1643430162.html"
"67";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13612-INFO-EMP-LINKEDIN-FR-1643430162.html"
"67";"date_ingestion";"2025-10-17 15:14:35"
"68";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13613-INFO-EMP-LINKEDIN-FR-1437100470.html"
"68";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13613-INFO-EMP-LINKEDIN-FR-1437100470.html"
"68";"date_ingestion";"2025-10-17 15:14:35"
"69";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13614-INFO-EMP-LINKEDIN-FR-1589592999.html"
"69";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13614-INFO-EMP-LINKEDIN-FR-1589592999.html"
"69";"date_ingestion";"2025-10-17 15:14:35"
"70";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13615-INFO-EMP-LINKEDIN-FR-1636623683.html"
"70";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13615-INFO-EMP-LINKEDIN-FR-1636623683.html"
"70";"date_ingestion";"2025-10-17 15:14:35"
"71";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13616-INFO-EMP-LINKEDIN-FR-1607807811.html"
"71";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13616-INFO-EMP-LINKEDIN-FR-1607807811.html"
"71";"date_ingestion";"2025-10-17 15:14:35"
"72";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13617-INFO-EMP-LINKEDIN-FR-1566352908.html"
"72";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13617-INFO-EMP-LINKEDIN-FR-1566352908.html"
"72";"date_ingestion";"2025-10-17 15:14:35"
"73";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13618-INFO-EMP-LINKEDIN-FR-1605797277.html"
"73";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13618-INFO-EMP-LINKEDIN-FR-1605797277.html"
"73";"date_ingestion";"2025-10-17 15:14:35"
"74";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13619-INFO-EMP-LINKEDIN-FR-1452023237.html"
"74";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13619-INFO-EMP-LINKEDIN-FR-1452023237.html"
"74";"date_ingestion";"2025-10-17 15:14:35"
"75";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13620-INFO-EMP-LINKEDIN-FR-1557974215.html"
"75";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13620-INFO-EMP-LINKEDIN-FR-1557974215.html"
"75";"date_ingestion";"2025-10-17 15:14:35"
